id,source,target,relation,confidence,region,notes,source_name,source_url,source_date,evidence_note,evidence_status,telemetry_edge,verified_edge,provenance_id,provenance_parent,citation_required,last_validated_date,verification_level,verification_status
e1,europe_volkswagen_group__holdco,europe_volkswagen_group__os,CONTROLS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_691424c7a6,,1,,1,ASSUMED
e2,europe_volkswagen_group__os,europe_volkswagen_group__ota,PROCESSES,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_233e1e3185,,1,,1,ASSUMED
e3,europe_volkswagen_group__ota,europe_volkswagen_group__tcu,EXPOSES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_0513e596b2,,1,,1,ASSUMED
e4,europe_volkswagen_group__tcu,europe_volkswagen_group__carrier,ROUTES DATA,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_ebaa9c06cd,,1,,1,ASSUMED
e5,europe_volkswagen_group__carrier,europe_volkswagen_group__cloud,ROUTES DATA,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_05c256caa9,,1,,1,ASSUMED
e6,europe_volkswagen_group__cloud,europe_volkswagen_group__stream,INGESTS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_67cf0e2073,,1,,1,ASSUMED
e7,europe_volkswagen_group__stream,europe_volkswagen_group__lake,STORES,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_11d59f1077,,1,,1,ASSUMED
e8,europe_volkswagen_group__lake,europe_volkswagen_group__ai,FEEDS,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_f4f4cbc840,,1,,1,ASSUMED
e9,europe_volkswagen_group__lake,europe_volkswagen_group__api,EXPOSES DATA,medium,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,1,0,e_3779393c98,,1,,1,ASSUMED
e10,europe_volkswagen_group__gov,europe_volkswagen_group__cloud,REGULATORY COMPLIANCE,hard,europe,Policy/Regulatory,EUR-Lex (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2/03/2026,Compliance constraint driven by GDPR and related EU privacy law.,VERIFIED,1,1,e_c6ca1321f7,,0,2/03/2026,4,VERIFIED
e11,europe_volkswagen_group__reg,europe_volkswagen_group__ota,MANDATORY REPORTING,hard,europe,Policy/Regulatory,UNECE WP.29 (R155/R156),https://unece.org/transport/documents/2021/03/standards/un-regulation-no-155-cyber-security-and-cyber-security,2/03/2026,UNECE WP.29 cybersecurity/update management obligations vary by type approval regime.,VERIFIED,1,1,e_c39a970a2f,,0,2/03/2026,4,VERIFIED
e12,europe_volkswagen_group__api,europe_volkswagen_group__dms,INTEGRATES WITH,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_89ea29f10e,,1,,1,ASSUMED
e13,europe_volkswagen_group__tier1__bosch,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_c4ccc81fcf,,1,,1,ASSUMED
e14,europe_volkswagen_group__tier1__continental,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7bd1280345,,1,,1,ASSUMED
e15,europe_volkswagen_group__tier1__zf,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_062caf242b,,1,,1,ASSUMED
e16,europe_volkswagen_group__tier1__valeo,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_7dc7a57b09,,1,,1,ASSUMED
e17,europe_volkswagen_group__tier1__forvia,europe_volkswagen_group__tcu,SUPPLIES,soft,europe,Modelled (industry pattern),,2/03/2026,Illustrative relationship; validate per OEM/program,,ASSUMED,0,0,e_006f60da2a,,1,,1,ASSUMED
