id,label,region,layer,oem_group,node_type,control_boundary,confidence,notes,source_name,source_url,source_date,evidence_note,evidence_status,provenance_id,provenance_parent,citation_required,last_validated_date,verification_level,verification_status
europe_volkswagen_group__holdco,Volkswagen Group,europe,Ownership & Brand Stack,Volkswagen Group,HOLDCO,oem,hard,OEM group parent,Company structure (general),,2026-03-02,Entity node,ASSUMED,n_b67dc9732c,,1,,1.0,ASSUMED
europe_volkswagen_group__os,Vehicle OS Platform (Volkswagen Group),europe,Vehicle OS & Middleware,Volkswagen Group,OS,oem,medium,OEM-controlled OS/middleware layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_92016b4b8c,,1,,1.0,ASSUMED
europe_volkswagen_group__ota,OTA Update Service (Volkswagen Group),europe,OTA & Software Update Infrastructure,Volkswagen Group,OTA,oem,medium,Update orchestration + policy,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b98483333b,,1,,1.0,ASSUMED
europe_volkswagen_group__tcu,Telematics Gateway/TCU (Volkswagen Group),europe,Telematics & TCU,Volkswagen Group,Telematics,oem,hard,"OEM-confirmed in-vehicle connectivity unit (OCU) with integrated eSIM enables connected services (e.g., We Connect) in production vehicles.","Volkswagen Newsroom — World premiere for the new Golf: digitalised, connected, and intelligent",https://www.volkswagen-newsroom.com/en/press-releases/world-premiere-for-the-new-golf-digitalised-connected-and-intelligent-5490,2019-10-24,VW press release describes Online Connectivity Unit (OCU) with integrated eSIM enabling connected services.,VERIFIED,n_de1a3ed5d6,,1,2026-03-03,4.0,VERIFIED
europe_volkswagen_group__carrier,Carrier/MVNO (Volkswagen Group),europe,Connectivity Providers,Volkswagen Group,Connectivity,external,soft,Carrier partnerships vary by market,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_6771e82b95,,1,,1.0,ASSUMED
europe_volkswagen_group__cloud,Cloud Hosting (Volkswagen Group),europe,Cloud Infrastructure,Volkswagen Group,Cloud,external,soft,Cloud mix varies by program,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f57f320810,,1,,1.0,ASSUMED
europe_volkswagen_group__stream,Streaming Layer (Volkswagen Group),europe,Streaming & Data Lake,Volkswagen Group,DataPlatform,oem,medium,Ingestion + streaming layer,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_89236239c7,,1,,1.0,ASSUMED
europe_volkswagen_group__lake,Lakehouse (Volkswagen Group),europe,Streaming & Data Lake,Volkswagen Group,DataPlatform,oem,medium,Long-term telemetry storage,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_25b3424f5e,,1,,1.0,ASSUMED
europe_volkswagen_group__ai,AI/Analytics (Volkswagen Group),europe,AI / Analytics,Volkswagen Group,AI,oem,medium,ML analytics over vehicle + customer data,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_c90c2a1b51,,1,,1.0,ASSUMED
europe_volkswagen_group__api,Product APIs (Volkswagen Group),europe,Product APIs,Volkswagen Group,API,oem,medium,External + internal API surface,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b9c5851ca9,,1,,1.0,ASSUMED
europe_volkswagen_group__gov,Governance Controls (GDPR),europe,Data Governance & Sovereignty,Volkswagen Group,Governance,regulatory,hard,Consent/retention/access + localization rules,EUR-Lex (GDPR),https://eur-lex.europa.eu/eli/reg/2016/679/oj/eng,2026-03-02,Official GDPR legal text (EU).,VERIFIED,n_909fecafce,,0,2026-03-02,4.0,VERIFIED
europe_volkswagen_group__reg,Regulators (UNECE WP.29 R155/R156),europe,Regulators,Volkswagen Group,Regulator,regulatory,hard,Cybersecurity + software update governance / reporting,UNECE WP.29 (R156),https://unece.org/transport/documents/2021/03/standards/un-regulation-no-156-software-update-and-software-update,2026-03-02,UNECE WP.29 software update regulation reference.,VERIFIED,n_e9dea5797e,,0,2026-03-02,4.0,VERIFIED
europe_volkswagen_group__dms,Dealer Systems (EUROPE),europe,Dealer Systems,Volkswagen Group,DealerTech,external,soft,Dealer management layer; vendor varies by country,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0ce86b9845,,1,,1.0,ASSUMED
europe_volkswagen_group__tier1__bosch,Bosch,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.bosch.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_46851bac03,,1,,1.0,REFERENCED
europe_volkswagen_group__tier1__continental,Continental,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.continental.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_0254cb2b72,,1,,1.0,REFERENCED
europe_volkswagen_group__tier1__zf,ZF,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.zf.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_218827cbe0,,1,,1.0,REFERENCED
europe_volkswagen_group__tier1__valeo,Valeo,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.valeo.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_8a88e90500,,1,,1.0,REFERENCED
europe_volkswagen_group__tier1__forvia,Forvia,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_b220b7c04e,,1,,1.0,ASSUMED
europe_volkswagen_group__tier1__aptiv,Aptiv,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Company website,https://www.aptiv.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_2739775987,,1,,1.0,REFERENCED
europe_volkswagen_group__tier1__magna_international,Magna International,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_8ea575e5dd,,1,,1.0,ASSUMED
europe_volkswagen_group__tier1__lear_corporation,Lear Corporation,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_f1d53c5813,,1,,1.0,ASSUMED
europe_volkswagen_group__tier1__denso,Denso,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_7ab48b1abf,,1,,1.0,ASSUMED
europe_volkswagen_group__tier1__aisin,Aisin,europe,Tier-1 Hardware Suppliers,Volkswagen Group,Tier1,external,soft,Major Tier-1 supplier; specific programs vary,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_bf18b5a315,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__catl,CATL,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_d6501e9071,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__byd_battery,BYD Battery,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_0c44d7c9fd,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__lg_energy_solution,LG Energy Solution,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_89616709f8,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__sk_on,SK On,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_eb71cbbcf1,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__samsung_sdi,Samsung SDI,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_c70b6fd117,,1,,1.0,ASSUMED
europe_volkswagen_group__battery__panasonic_energy,Panasonic Energy,europe,Battery & Cell Suppliers,Volkswagen Group,Battery,external,soft,Battery/cell supplier; varies by platform and JV,Modelled (industry pattern),,2026-03-02,Illustrative relationship; validate per OEM/program,ASSUMED,n_58b3d918d9,,1,,1.0,ASSUMED
europe_volkswagen_group__chip__nvidia,NVIDIA,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.nvidia.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_38212301a0,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__qualcomm,Qualcomm,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.qualcomm.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_e2a6a38e24,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__nxp,NXP,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.nxp.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_6c4c046737,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__renesas,Renesas,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.renesas.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_158901d599,,1,,1.0,REFERENCED
europe_volkswagen_group__chip__infineon,Infineon,europe,Semiconductor & Compute,Volkswagen Group,Semiconductor,external,soft,Compute/SoC/toolchain supplier; varies by platform,Company website,https://www.infineon.com/,2026-03-02,Entity reference (official company site). Does not prove specific OEM partnership.,REFERENCED,n_25aee79b8a,,1,,1.0,REFERENCED
